Dam Studbook ID,Dam DOH,Dam.Age,Dam.Inbreeding,Sire Studbook ID,Sire DOH,Sire.Age,Sire.Inbreeding,Pair.Inbreeding,Generations,Location,Lay.Date,Lay.Year,Management,Broken,Discarded,Fertile,Pipped,Hatched,Hatch.tot.nm,Hatch.tot,Artificial incubation
D1,21/09/2006,882,0.0697,S37,11/09/2005,1257,0.0854,0.1057,8,Loc1,19/02/2009,2009,c,Y,Y,U,NA,NA,N,N,NA
D1,21/09/2006,900,0.0697,S37,11/09/2005,1275,0.0854,0.1057,8,Loc1,09/03/2009,2009,c,U,U,U,U,U,U,U,U
D1,21/09/2006,943,0.0697,S37,11/09/2005,1318,0.0854,0.1057,8,Loc1,21/04/2009,2009,c,N,N,Y,N,N,N,N,Y
D1,21/09/2006,944,0.0697,S37,11/09/2005,1319,0.0854,0.1057,8,Loc1,22/04/2009,2009,c,Y,Y,U,NA,NA,N,N,NA
D1,21/09/2006,964,0.0697,S37,11/09/2005,1339,0.0854,0.1057,8,Loc1,12/05/2009,2009,c,N,N,N,NA,NA,N,N,Y
D1,21/09/2006,1003,0.0697,S37,11/09/2005,1378,0.0854,0.1057,8,Loc1,20/06/2009,2009,c,Y,Y,U,NA,NA,N,N,NA
D1,21/09/2006,1226,0.0697,S37,11/09/2005,1601,0.0854,0.1057,8,Loc1,29/01/2010,2010,c,Y,Y,U,NA,NA,N,N,NA
D1,21/09/2006,1258,0.0697,S37,11/09/2005,1633,0.0854,0.1057,8,Loc1,02/03/2010,2010,c,N,N,Y,N,N,N,N,Y
D1,21/09/2006,1273,0.0697,S37,11/09/2005,1648,0.0854,0.1057,8,Loc1,17/03/2010,2010,c,N,N,Y,Y,Y,Y,Y,Y
D1,21/09/2006,1275,0.0697,S37,11/09/2005,1650,0.0854,0.1057,8,Loc1,19/03/2010,2010,c,N,N,Y,Y,Y,Y,Y,Y
D1,21/09/2006,1302,0.0697,S37,11/09/2005,1677,0.0854,0.1057,8,Loc1,15/04/2010,2010,c,N,N,Y,N,N,N,N,Y
D1,21/09/2006,1569,0.0697,S37,11/09/2005,1944,0.0854,0.1057,8,Loc1,07/01/2011,2011,c,N,N,Y,Y,Y,Y,Y,Y
D1,21/09/2006,1624,0.0697,S37,11/09/2005,1999,0.0854,0.1057,8,Loc1,03/03/2011,2011,c,N,N,Y,N,N,N,N,Y
D1,21/09/2006,1627,0.0697,S37,11/09/2005,2002,0.0854,0.1057,8,Loc1,06/03/2011,2011,c,N,N,Y,N,N,N,N,Y
D1,21/09/2006,1648,0.0697,S37,11/09/2005,2023,0.0854,0.1057,8,Loc1,27/03/2011,2011,c,N,N,Y,N,N,N,N,Y
D1,21/09/2006,1668,0.0697,S37,11/09/2005,2043,0.0854,0.1057,8,Loc1,16/04/2011,2011,c,N,N,Y,N,N,N,N,Y
D1,21/09/2006,1693,0.0697,S37,11/09/2005,2068,0.0854,0.1057,8,Loc1,11/05/2011,2011,c,N,N,Y,N,N,N,N,Y
D1,21/09/2006,1728,0.0697,S37,11/09/2005,2103,0.0854,0.1057,8,Loc1,15/06/2011,2011,c,N,N,Y,Y,Y,Y,Y,P
D1,21/09/2006,1730,0.0697,S37,11/09/2005,2105,0.0854,0.1057,8,Loc1,17/06/2011,2011,c,N,N,Y,Y,Y,Y,Y,Y
D1,21/09/2006,1768,0.0697,S37,11/09/2005,2143,0.0854,0.1057,8,Loc1,25/07/2011,2011,c,N,N,Y,Y,Y,Y,Y,Y
D2,05/06/2010,685,0.0688,S37,11/09/2005,2413,0.0854,0.0782,8,Loc1,20/04/2012,2012,c,Y,Y,U,NA,NA,N,N,NA
D2,05/06/2010,710,0.0688,S37,11/09/2005,2438,0.0854,0.0782,8,Loc1,15/05/2012,2012,c,N,N,Y,Y,Y,Y,Y,N
D2,05/06/2010,710,0.0688,S37,11/09/2005,2438,0.0854,0.0782,8,Loc1,15/05/2012,2012,c,U,U,U,U,U,U,U,U
D2,05/06/2010,763,0.0688,S37,11/09/2005,2491,0.0854,0.0782,8,Loc1,07/07/2012,2012,c,U,U,U,U,U,U,U,U
D2,05/06/2010,1040,0.0688,S37,11/09/2005,2768,0.0854,0.0782,8,Loc1,10/04/2013,2013,c,N,N,Y,Y,Y,Y,Y,Y
D50,16/08/2011,623,0.1057,S21,12/05/1996,6197,0.0000,0.1006,9,Loc1,30/04/2013,2013,c,U,U,U,U,U,U,U,U
D50,16/08/2011,630,0.1057,S21,12/05/1996,6204,0.0000,0.1006,9,Loc1,07/05/2013,2013,c,U,U,U,U,U,U,U,U
D43,10/06/2008,2072,0.0762,S33,12/10/2004,3409,0.0352,0.0990,7,Loc1,11/02/2014,2014,d,Y,Y,U,NA,NA,N,N,NA
D43,10/06/2008,2076,0.0762,S33,12/10/2004,3413,0.0352,0.0990,7,Loc1,15/02/2014,2014,d,Y,Y,U,NA,NA,N,N,NA
D43,10/06/2008,2120,0.0762,S33,12/10/2004,3457,0.0352,0.0990,7,Loc1,31/03/2014,2014,d,Y,Y,U,NA,NA,N,N,NA
D43,10/06/2008,2124,0.0762,S33,12/10/2004,3461,0.0352,0.0990,7,Loc1,04/04/2014,2014,d,N,N,N,NA,NA,N,N,Y
D41,17/05/2007,2521,0.0195,S40,17/07/2008,2094,0.0762,0.0640,7,Loc1,11/04/2014,2014,d,Y,Y,U,NA,NA,N,N,NA
D41,17/05/2007,2533,0.0195,S40,17/07/2008,2106,0.0762,0.0640,7,Loc1,23/04/2014,2014,d,Y,Y,U,NA,NA,N,N,NA
D41,17/05/2007,2553,0.0195,S40,17/07/2008,2126,0.0762,0.0640,7,Loc1,13/05/2014,2014,d,Y,Y,U,NA,NA,N,N,NA
D41,17/05/2007,2570,0.0195,S40,17/07/2008,2143,0.0762,0.0640,7,Loc1,30/05/2014,2014,d,N,N,Y,Y,Y,Y,Y,Y
D41,17/05/2007,2570,0.0195,S40,17/07/2008,2143,0.0762,0.0640,7,Loc1,30/05/2014,2014,d,N,N,Y,N,N,N,N,Y
D41,17/05/2007,2607,0.0195,S40,17/07/2008,2180,0.0762,0.0640,7,Loc1,06/07/2014,2014,d,N,N,N,NA,NA,N,N,Y
D41,17/05/2007,2607,0.0195,S40,17/07/2008,2180,0.0762,0.0640,7,Loc1,06/07/2014,2014,d,N,N,Y,N,N,N,N,Y
D41,17/05/2007,2628,0.0195,S40,17/07/2008,2201,0.0762,0.0640,7,Loc1,27/07/2014,2014,d,N,N,Y,Y,Y,Y,Y,Y
D41,17/05/2007,2628,0.0195,S40,17/07/2008,2201,0.0762,0.0640,7,Loc1,27/07/2014,2014,d,N,N,Y,N,N,N,N,Y
D42,10/07/2007,2850,0.0195,S33,12/10/2004,3851,0.0352,0.0688,7,Loc1,29/04/2015,2015,d,Y,Y,U,NA,NA,N,N,NA
